class,precision,recall,f1,support
0,0.9798387096774194,0.9918367346938776,0.9858012170385396,980
1,0.9947136563876652,0.9947136563876652,0.9947136563876652,1135
2,0.9834630350194552,0.9796511627906976,0.9815533980582525,1032
3,0.9830508474576272,0.9762376237623762,0.979632389468455,1010
4,0.985655737704918,0.9796334012219959,0.982635342185904,982
5,0.984180790960452,0.976457399103139,0.9803038829487901,892
6,0.9843260188087775,0.9832985386221295,0.9838120104438641,958
7,0.980544747081712,0.980544747081712,0.980544747081712,1028
8,0.9755600814663951,0.9835728952772074,0.9795501022494887,974
9,0.9704142011834319,0.9752229930624381,0.9728126544735541,1009
